step,loss,val_loss,grad_norm,steps_per_sec,gpu_mem_alloc_mb,loss_video,loss_gt,loss_res,loss_teacher,teacher_gap,delta_norm,base_norm
1.0,1.1405681371688843,9.291527271270752,16.67999839782715,1.3236590809807738,316.49072265625,0.0,1.1386868953704834,0.0015676763141527772,0.000313537719193846,0.031353771686553955,0.0,1.8100402355194092
100.0,0.09937633574008942,nan,1.6964622735977173,25.627284167728885,316.4912109375,0.0,0.07032737135887146,0.024207422509789467,0.004841547459363937,0.5780921578407288,0.46108734607696533,2.1957778930664062
200.0,0.1154899001121521,nan,0.9132530093193054,26.3861718269869,316.4912109375,0.0,0.04789845645427704,0.05632650852203369,0.011264934204518795,4.3407301902771,2.4941906929016113,4.007555961608887
300.0,0.09825912863016129,nan,1.394392728805542,26.953143969909938,316.4912109375,0.0,0.03758867830038071,0.05055913329124451,0.010111319832503796,4.937501430511475,2.7086663246154785,3.9388651847839355
400.0,0.08401608467102051,nan,0.5983694791793823,27.112315802138337,316.4912109375,0.0,0.03281356394290924,0.042668551206588745,0.008533972315490246,5.412343978881836,2.9236502647399902,4.0183424949646
500.0,0.11787032335996628,0.2884152978658676,0.7115119099617004,26.43555535118086,316.4912109375,0.0,0.03820173442363739,0.06639137119054794,0.013277219608426094,9.050651550292969,3.5922722816467285,4.447132110595703
600.0,0.053787652403116226,nan,0.8873100876808167,26.341754666501597,316.4912109375,0.0,0.031113380566239357,0.018895361572504044,0.0037789084017276764,4.428977966308594,2.571498155593872,3.650547981262207
700.0,0.043137215077877045,nan,0.4327782988548279,27.085773796952125,316.4912109375,0.0,0.027347465977072716,0.013158111833035946,0.0026316375005990267,1.2841631174087524,1.6069772243499756,2.775822877883911
800.0,0.05441870167851448,nan,0.7371520400047302,26.59141188208032,316.4912109375,0.0,0.027413271367549896,0.02250436320900917,0.0045010680332779884,2.5522007942199707,2.0845749378204346,3.1893632411956787
900.0,0.0456228069961071,nan,0.522824227809906,27.097636150833853,316.4912109375,0.0,0.020927954465150833,0.020579060539603233,0.00411579292267561,2.342474937438965,2.0072267055511475,3.094308376312256
1000.0,0.03690147399902344,0.1849379688501358,0.516015887260437,27.010141723236167,316.4912109375,0.0,0.020242199301719666,0.013882708735764027,0.0027765652630478144,2.835279941558838,1.8191118240356445,3.224501848220825
1100.0,0.045349638909101486,nan,0.9303545951843262,25.813968179627885,316.4912109375,0.0,0.025666624307632446,0.016402646899223328,0.003280366538092494,0.6609001159667969,1.3421766757965088,2.497972249984741
1200.0,0.05130601301789284,nan,0.9754775166511536,27.091163999825145,316.4912109375,0.0,0.031032469123601913,0.016894547268748283,0.003378997091203928,2.4481890201568604,2.0081863403320312,3.30629301071167
1300.0,0.05660504847764969,nan,1.2055779695510864,27.174178517569057,316.4912109375,0.0,0.03161782771348953,0.020822862163186073,0.004164361394941807,1.2402746677398682,1.5080978870391846,2.7845425605773926
