step,loss_total,loss_action,loss_video,step_time_s,samples_per_s
1,0.3836378753185272,0.3230876922607422,0.06055019050836563,0.004756595939397812,26910.00068763564
2,0.31013908982276917,0.2522522807121277,0.05788680538535118,0.0034453384578227997,37151.64752808831
3,0.16715790331363678,0.12287794798612595,0.044279955327510834,0.0028478186577558517,44946.68213911732
4,0.21665450930595398,0.19303256273269653,0.023621952161192894,0.0027749519795179367,46126.92433770911
5,0.09244967997074127,0.07690812647342682,0.01554155070334673,0.0028505828231573105,44903.09804723617
6,0.08946918696165085,0.07593455165624619,0.01353463251143694,0.0028118472546339035,45521.67611133818
7,0.09385262429714203,0.0824945867061615,0.011358036659657955,0.002816680818796158,45443.55865451126
8,0.08652731776237488,0.07798764109611511,0.00853967759758234,0.002857426181435585,44795.55791558268
9,0.07066657394170761,0.06324151903390884,0.007425057236105204,0.002544235438108444,50309.809415737014
10,0.0620865523815155,0.05297263711690903,0.009113914333283901,0.002481868490576744,51574.0461212975
11,0.053124964237213135,0.04190678894519806,0.011218174360692501,0.002456851303577423,52099.20511413088
12,0.04985710233449936,0.03880014270544052,0.011056958697736263,0.0024449285119771957,52353.268970014724
13,0.04413001984357834,0.03460822254419327,0.009521796368062496,0.0024365615099668503,52533.04686806017
14,0.03972230851650238,0.03265966475009918,0.007062644697725773,0.0024332255125045776,52605.07065300598
15,0.03519603982567787,0.029362212866544724,0.005833826493471861,0.002420058473944664,52891.28398263933
16,0.03511117026209831,0.02881709486246109,0.006294076796621084,0.0024198591709136963,52895.640183750635
17,0.034821685403585434,0.028242841362953186,0.0065788449719548225,0.0024216733872890472,52856.012983356995
18,0.03261224180459976,0.025759022682905197,0.006853219121694565,0.0024037305265665054,53250.56140250277
19,0.027499597519636154,0.02128678560256958,0.006212811451405287,0.0024043191224336624,53237.525254317254
20,0.02386673539876938,0.018635153770446777,0.005231581162661314,0.002405695617198944,53207.063721983235
21,0.021293573081493378,0.016539450734853745,0.0047541228123009205,0.0024005435407161713,53321.257385655605
22,0.020531270653009415,0.015808764845132828,0.0047225067391991615,0.002401517704129219,53299.62788944431
23,0.019222959876060486,0.014715079218149185,0.004507880192250013,0.0024040397256612778,53243.71250345754
24,0.019147703424096107,0.014620669186115265,0.004527033772319555,0.0023966357111930847,53408.200254297095
25,0.018286189064383507,0.013973789289593697,0.004312399309128523,0.002398751676082611,53361.0883011601
26,0.01865485869348049,0.014351016841828823,0.0043038418516516685,0.0023906249552965164,53542.484661348215
27,0.015895552933216095,0.011758669279515743,0.004136883653700352,0.0024085193872451782,53144.68327631115
28,0.015523424372076988,0.011620886623859406,0.003902537515386939,0.0023870673030614853,53622.28364312819
29,0.013534020632505417,0.0098519092425704,0.0036821109242737293,0.0024074986577033997,53167.2155207363
30,0.013517400249838829,0.00979691743850708,0.0037204825785011053,0.002394702285528183,53451.32076481395
31,0.012770322151482105,0.009236058220267296,0.003534264164045453,0.0023982077836990356,53373.190125573965
32,0.012479199096560478,0.008896122686564922,0.0035830766428261995,0.002386348322033882,53638.439459209265
33,0.012167597189545631,0.00863471906632185,0.0035328776575624943,0.0024070683866739273,53176.71932739295
34,0.01219381857663393,0.008782731369137764,0.0034110869746655226,0.002396196126937866,53417.998034899196
35,0.011229993775486946,0.007796234916895628,0.003433758858591318,0.0024091023951768875,53131.82214930372
36,0.011220196262001991,0.007807411253452301,0.0034127850085496902,0.0023978110402822495,53382.021289272634
37,0.01027972437441349,0.0070321327075362206,0.0032475912012159824,0.002398259937763214,53372.02943871956
38,0.009625706821680069,0.006325403228402138,0.0033003040589392185,0.0024019163101911545,53290.7826375571
39,0.009217005223035812,0.006065025459975004,0.003151979995891452,0.0024029575288295746,53267.69136129753
40,0.009266234934329987,0.006021943408995867,0.0032442917581647635,0.0024012625217437744,53305.29204572251
41,0.008462718687951565,0.005286304280161858,0.0031764141749590635,0.0023975595831871033,53387.620018956164
42,0.00858994759619236,0.005537513177841902,0.003052434651181102,0.0024041198194026947,53241.93867833164
43,0.00756904948502779,0.0044868625700473785,0.003082186682149768,0.0023842528462409973,53685.58129302613
44,0.007673959247767925,0.004600037354975939,0.00307392212562263,0.0024008657783269882,53314.10075293552
45,0.006893496960401535,0.003964346833527088,0.002929149894043803,0.0023908857256174088,53536.64486283468
46,0.006712699308991432,0.0036562904715538025,0.003056408604606986,0.00240122526884079,53306.11903055351
47,0.006431109271943569,0.0035043475218117237,0.0029267617501318455,0.002397088333964348,53398.1156165035
48,0.0065725077874958515,0.0035211408976465464,0.003051366889849305,0.002399219200015068,53350.690090841264
49,0.006093406118452549,0.0030782201793044806,0.0030151857063174248,0.0023843813687562943,53682.687542037565
50,0.006391484290361404,0.003499096492305398,0.0028923877980560064,0.002394372597336769,53458.68063407208
51,0.005838113836944103,0.0029367017559707165,0.0029014123138040304,0.002385726198554039,53652.42670243522
52,0.005931858904659748,0.0030305429827421904,0.0029013159219175577,0.002392468973994255,53501.21627128251
53,0.005346270743757486,0.0025731693021953106,0.0027731014415621758,0.0023953355848789215,53437.188846534875
54,0.005355295725166798,0.0024675275199115276,0.0028877684380859137,0.0023934394121170044,53479.523798258015
55,0.005087932571768761,0.0023324210196733475,0.0027555113192647696,0.0023954641073942184,53434.321810498
56,0.005298092029988766,0.0024476093240082264,0.002850482938811183,0.002392558380961418,53499.21699656285
57,0.0048660594038665295,0.0020313113927841187,0.002834748011082411,0.0023975595831871033,53387.620018956164
58,0.005038048140704632,0.002296063117682934,0.0027419847901910543,0.0023960955440998077,53420.24040535015
59,0.004587334115058184,0.0018572257831692696,0.002730108331888914,0.002397969365119934,53378.496765574026
60,0.004613389726728201,0.0018596743466332555,0.0027537152636796236,0.0023812204599380493,53753.94767241757
61,0.0041131796315312386,0.0014842503005638719,0.0026289294473826885,0.002390865236520767,53537.10365803304
62,0.004151580855250359,0.001398023683577776,0.0027535574045032263,0.0023785214871168137,53814.94373429374
63,0.003905827645212412,0.0012764116981998086,0.0026294158305972815,0.0023884717375040054,53590.75344712357
64,0.0039014392532408237,0.0011905645951628685,0.0027108746580779552,0.0023848116397857666,53673.0020369653
65,0.0037288274616003036,0.0010162962134927511,0.0027125312481075525,0.0023916568607091904,53519.383195315306
66,0.003636168083176017,0.0009939372539520264,0.0026422308292239904,0.0023948736488819122,53447.49609640533
