step,loss_total,loss_action,step_time_s,samples_per_s
1,0.33149343729019165,0.33149343729019165,0.2759937383234501,463.7786377964516
2,0.254580020904541,0.254580020904541,0.003963014110922813,32298.648558229426
3,0.12837406992912292,0.12837406992912292,0.00325208343565464,39359.38377123272
4,0.17120349407196045,0.17120349407196045,0.003098791465163231,41306.42588860284
5,0.06910930573940277,0.06910930573940277,0.0030972901731729507,41326.4475859145
6,0.07086282968521118,0.07086282968521118,0.0032234080135822296,39709.524658577546
7,0.08099290728569031,0.08099290728569031,0.0031118467450141907,41133.13105958125
8,0.07946653664112091,0.07946653664112091,0.0032513029873371124,39368.83166488115
9,0.06084398925304413,0.06084398925304413,0.005839020013809204,21921.486772999873
10,0.0436675138771534,0.0436675138771534,0.0026224032044410706,48810.19050893108
11,0.03699127957224846,0.03699127957224846,0.0025411080569028854,50371.72648061531
12,0.035947035998106,0.035947035998106,0.0026678089052438736,47979.44850862512
13,0.032280467450618744,0.032280467450618744,0.002549516037106514,50205.60692188045
14,0.030140284448862076,0.030140284448862076,0.0025097206234931946,51001.69269910257
15,0.02635788545012474,0.02635788545012474,0.002516603097319603,50862.21189838434
16,0.0265361275523901,0.0265361275523901,0.0025862175971269608,49493.1285527543
17,0.02348797582089901,0.02348797582089901,0.0026060789823532104,49115.932735246526
18,0.020360689610242844,0.020360689610242844,0.002514457330107689,50905.61628043934
19,0.018001101911067963,0.018001101911067963,0.0025077685713768005,51041.39251961603
20,0.016135506331920624,0.016135506331920624,0.002979626879096031,42958.39888477347
21,0.015594529919326305,0.015594529919326305,0.0028982125222682953,44165.15318201041
22,0.015463603660464287,0.015463603660464287,0.0026197806000709534,48859.053310240284
23,0.014913725666701794,0.014913725666701794,0.0026207324117422104,48841.30841687426
24,0.014751549810171127,0.014751549810171127,0.0026248786598443985,48764.15887642889
25,0.013078520074486732,0.013078520074486732,0.0026004649698734283,49221.96664169258
26,0.01217010896652937,0.01217010896652937,0.002627171576023102,48721.59898812579
27,0.010928535833954811,0.010928535833954811,0.0026359669864177704,48559.030010443945
28,0.011033199727535248,0.011033199727535248,0.0025813840329647064,49585.80295121476
29,0.010171478614211082,0.010171478614211082,0.0026171132922172546,48908.84944898837
30,0.009836360812187195,0.009836360812187195,0.0026174839586019516,48901.92338308245
31,0.010142307728528976,0.010142307728528976,0.002577308565378189,49664.21239562269
32,0.0093876076862216,0.0093876076862216,0.0026213806122541428,48829.23120802818
33,0.008637866005301476,0.008637866005301476,0.002621293067932129,48830.861976442764
34,0.008359464816749096,0.008359464816749096,0.002579212188720703,49627.55703457201
35,0.007611041888594627,0.007611041888594627,0.0024952422827482224,51297.62383595982
36,0.007320651784539223,0.007320651784539223,0.002166459336876869,59082.57672840637
