step,loss_total,loss_action,loss_latent,step_time_s,samples_per_s
26,0.02335154265165329,0.015211446210741997,0.008140097372233868,0.0025443322956562042,50307.89422377227
27,0.021779844537377357,0.014106353744864464,0.007673490326851606,0.002541588619351387,50362.202216921156
28,0.02089264802634716,0.013633057475090027,0.007259591016918421,0.0025390349328517914,50412.855035528424
29,0.020464446395635605,0.013953117653727531,0.006511327810585499,0.002537844702601433,50436.498288801056
30,0.017774324864149094,0.011637117713689804,0.0061372071504592896,0.002520618960261345,50781.17796381592
31,0.019351158291101456,0.013228151015937328,0.006123006343841553,0.002530580386519432,50581.28193906204
32,0.01719977706670761,0.01150839775800705,0.0056913793087005615,0.0025265924632549286,50661.11842790098
33,0.017141953110694885,0.011591705493628979,0.005550248548388481,0.0025188494473695755,50816.852167829995
34,0.016683664172887802,0.01161552220582962,0.005068142898380756,0.0025313720107078552,50565.46389015614
35,0.015565598383545876,0.01065940223634243,0.004906195681542158,0.0025123953819274902,50947.395032146334
36,0.01490827091038227,0.0102576594799757,0.0046506114304065704,0.002530127763748169,50590.33058883117
37,0.014372274279594421,0.010132033377885818,0.00424024136736989,0.0025215446949005127,50762.53467125247
38,0.013597214594483376,0.009519942104816437,0.0040772720240056515,0.0025331825017929077,50529.324243083785
39,0.01476781815290451,0.010735144838690758,0.004032673314213753,0.0025325529277324677,50541.88546203666
40,0.013274813070893288,0.00948744174093008,0.003787371562793851,0.0025129150599241257,50936.85896564478
41,0.013357221148908138,0.009390310384333134,0.003966910764575005,0.002527652308344841,50639.8762113833
42,0.01246825885027647,0.008734221570193768,0.003734037047252059,0.002527887001633644,50635.17471994601
43,0.012655340135097504,0.008957882411777973,0.003697457956150174,0.002519208937883377,50809.60061516167
44,0.011514059267938137,0.007986117154359818,0.003527942346408963,0.0025334563106298447,50523.86317574895
45,0.011402331292629242,0.008136732503771782,0.0032655992545187473,0.0025207307189702988,50778.926537733125
46,0.010697401128709316,0.007495609112083912,0.0032017920166254044,0.0025290362536907196,50612.16493563692
47,0.011808331124484539,0.008541276678442955,0.0032670542132109404,0.0025251097977161407,50690.86505298534
48,0.011562829837203026,0.008526594378054142,0.0030362349934875965,0.002528224140405655,50628.422517737024
49,0.010435367003083229,0.00724260276183486,0.003192764474079013,0.0025326143950223923,50540.658795737545
50,0.010506141930818558,0.0074952030554413795,0.003010939108207822,0.00252545066177845,50684.0232269123
51,0.010766646824777126,0.007687272969633341,0.003079374087974429,0.0025269407778978348,50654.13527676077
52,0.009747314266860485,0.00677860900759697,0.002968705492094159,0.002521803602576256,50757.32300058425
53,0.0097421919927001,0.006949209608137608,0.0027929821517318487,0.0025310292840003967,50572.31096026305
