step,loss,val_loss,grad_norm,steps_per_sec,gpu_mem_alloc_mb,loss_video,loss_gt,loss_res,loss_teacher,teacher_gap,delta_norm,base_norm
1.0,2.368342399597168,2.5193007787068686,13.207290649414062,1.5596115496372744,148.6328125,1.311047077178955,1.0572952032089233,0.0,0.0,0.0,0.0,1.5561285018920898
100.0,0.2887226343154907,nan,2.3737149238586426,33.27226083654671,147.69580078125,0.04744938015937805,0.24127326905727386,0.0,0.0,0.0,0.0,1.7846989631652832
200.0,0.11172449588775635,nan,1.6673362255096436,32.89502402282999,147.69580078125,0.018546264618635178,0.09317822754383087,0.0,0.0,0.0,0.0,1.9493916034698486
300.0,0.08186022192239761,nan,1.070684552192688,31.94119199076165,147.69580078125,0.01138816773891449,0.07047205418348312,0.0,0.0,0.0,0.0,1.8495945930480957
400.0,0.0657825842499733,nan,0.5607956647872925,33.22200526495024,147.69580078125,0.009031599387526512,0.056750982999801636,0.0,0.0,0.0,0.0,1.9975889921188354
500.0,0.061356499791145325,0.06547136853138606,1.3084321022033691,33.309006204299536,147.69580078125,0.007073902525007725,0.054282598197460175,0.0,0.0,0.0,0.0,1.9684534072875977
600.0,0.044704560190439224,nan,0.5065049529075623,32.52650678756437,147.69580078125,0.00549062667414546,0.03921393305063248,0.0,0.0,0.0,0.0,1.9064905643463135
700.0,0.046536900103092194,nan,0.4937002658843994,33.40109485911562,147.69580078125,0.005030094180256128,0.0415068045258522,0.0,0.0,0.0,0.0,1.952186107635498
800.0,0.039036303758621216,nan,0.523353636264801,31.56268841249643,147.69580078125,0.004220091737806797,0.03481621295213699,0.0,0.0,0.0,0.0,1.9924768209457397
900.0,0.03872954100370407,nan,0.5219376683235168,32.74385342660935,147.69580078125,0.004127161577343941,0.03460238128900528,0.0,0.0,0.0,0.0,1.9574421644210815
1000.0,0.04267527908086777,0.05393789087732633,0.635577380657196,33.66438512082455,147.69580078125,0.004128789529204369,0.03854648768901825,0.0,0.0,0.0,0.0,2.0485732555389404
1100.0,0.03697876259684563,nan,0.5188333988189697,32.721763532997066,147.69580078125,0.005456693470478058,0.03152206912636757,0.0,0.0,0.0,0.0,2.0913662910461426
1200.0,0.02936592884361744,nan,0.29817843437194824,32.639651026954986,147.69580078125,0.003188955131918192,0.026176974177360535,0.0,0.0,0.0,0.0,2.0137624740600586
1300.0,0.030002465471625328,nan,0.5216276049613953,32.26732912007287,147.69580078125,0.0031723137944936752,0.026830151677131653,0.0,0.0,0.0,0.0,2.026059150695801
1400.0,0.032124992460012436,nan,0.39106518030166626,33.76094926700961,147.69580078125,0.0041089593432843685,0.02801603265106678,0.0,0.0,0.0,0.0,1.9896477460861206
1500.0,0.02647608146071434,0.05030451094110807,0.3054598867893219,32.43150927462931,147.69580078125,0.002954079769551754,0.02352200262248516,0.0,0.0,0.0,0.0,2.023759365081787
1600.0,0.02470729686319828,nan,0.4005463719367981,32.15221739246808,147.69580078125,0.002789170015603304,0.021918127313256264,0.0,0.0,0.0,0.0,2.0609776973724365
1700.0,0.027392465621232986,nan,0.3853415548801422,33.66893721465045,147.69580078125,0.002710387809202075,0.024682078510522842,0.0,0.0,0.0,0.0,2.0978195667266846
1800.0,0.024119431152939796,nan,0.2773648500442505,32.84723457076906,147.69580078125,0.003072603140026331,0.021046828478574753,0.0,0.0,0.0,0.0,2.008836030960083
1900.0,0.02278124913573265,nan,0.3561733663082123,32.28979485861513,147.69580078125,0.002298439387232065,0.020482810214161873,0.0,0.0,0.0,0.0,2.1139559745788574
2000.0,0.021315956488251686,0.04803147166967392,0.385283499956131,32.669042352161696,147.69580078125,0.002238397253677249,0.019077559933066368,0.0,0.0,0.0,0.0,2.007857322692871
2100.0,0.02070111781358719,nan,0.2302686721086502,32.360024019081095,147.69580078125,0.0021200557239353657,0.01858106255531311,0.0,0.0,0.0,0.0,2.009122848510742
2200.0,0.024755055084824562,nan,0.4724712371826172,32.66882342196745,147.69580078125,0.0024084143806248903,0.02234664000570774,0.0,0.0,0.0,0.0,2.0738449096679688
2300.0,0.019296199083328247,nan,0.25351184606552124,32.952148589282075,147.69580078125,0.0024001223500818014,0.016896076500415802,0.0,0.0,0.0,0.0,1.9783753156661987
2400.0,0.01988004334270954,nan,0.2152722030878067,33.16484004311994,147.69580078125,0.0019271619385108352,0.01795288175344467,0.0,0.0,0.0,0.0,2.0014846324920654
2500.0,0.019571082666516304,0.047534813483556114,0.36600223183631897,32.96910060717758,147.69580078125,0.0019160900264978409,0.017654992640018463,0.0,0.0,0.0,0.0,2.077237367630005
2600.0,0.01767648383975029,nan,0.2388148009777069,31.706069938691382,147.69580078125,0.0018809422617778182,0.015795541927218437,0.0,0.0,0.0,0.0,1.9903464317321777
2700.0,0.019139032810926437,nan,0.3687961995601654,32.97552526116818,147.69580078125,0.002059441991150379,0.017079591751098633,0.0,0.0,0.0,0.0,2.103034019470215
2800.0,0.01737767644226551,nan,0.26231884956359863,32.3098830704327,147.69580078125,0.0017311177216470242,0.0156465582549572,0.0,0.0,0.0,0.0,2.052265167236328
2900.0,0.01755521260201931,nan,0.2102036327123642,32.232260310560505,147.69580078125,0.0017327567329630256,0.015822455286979675,0.0,0.0,0.0,0.0,2.0849227905273438
3000.0,0.015883993357419968,0.046205904334783554,0.21949949860572815,32.66440326207483,147.69580078125,0.001630275510251522,0.01425371877849102,0.0,0.0,0.0,0.0,2.126397132873535
3100.0,0.01686403714120388,nan,0.32892075181007385,32.73538717073021,147.69580078125,0.0015147242229431868,0.01534931268543005,0.0,0.0,0.0,0.0,1.9247187376022339
3200.0,0.016611693426966667,nan,0.29298216104507446,32.23858259704339,147.69580078125,0.00172718265093863,0.01488451100885868,0.0,0.0,0.0,0.0,2.042436122894287
3300.0,0.016554152593016624,nan,0.2980544865131378,32.79750003409591,147.69580078125,0.0016892764251679182,0.014864876866340637,0.0,0.0,0.0,0.0,2.117593765258789
3400.0,0.014079838991165161,nan,0.18205147981643677,32.81243050224643,147.69580078125,0.0014667741488665342,0.012613064609467983,0.0,0.0,0.0,0.0,2.034552574157715
3500.0,0.015305517241358757,0.04606726268927256,0.30189448595046997,35.710486312913616,147.69580078125,0.0017929074820131063,0.013512609526515007,0.0,0.0,0.0,0.0,2.07411527633667
3600.0,0.015610127709805965,nan,0.2946462333202362,32.520175638791535,147.69580078125,0.0014669958036392927,0.014143131673336029,0.0,0.0,0.0,0.0,2.1619772911071777
3700.0,0.013827393762767315,nan,0.28501763939857483,31.9082548588739,147.69580078125,0.0014056278159841895,0.012421766296029091,0.0,0.0,0.0,0.0,2.0657646656036377
3800.0,0.014766201376914978,nan,0.22550609707832336,33.52968482934222,147.69580078125,0.0015444117598235607,0.01322178915143013,0.0,0.0,0.0,0.0,2.1624746322631836
3900.0,0.012079877778887749,nan,0.16992852091789246,32.88372941251702,147.69580078125,0.0014120638370513916,0.010667813941836357,0.0,0.0,0.0,0.0,2.039264440536499
4000.0,0.013954496942460537,0.047950721035401024,0.45854851603507996,33.22188853678119,147.69580078125,0.0012605866650119424,0.012693909928202629,0.0,0.0,0.0,0.0,2.0122971534729004
4100.0,0.013183748349547386,nan,0.2134028822183609,32.40423833511178,147.69580078125,0.0012831699568778276,0.011900578625500202,0.0,0.0,0.0,0.0,2.1920173168182373
4200.0,0.013252712786197662,nan,0.3306426405906677,32.280339217104164,147.69580078125,0.0013426918303593993,0.011910021305084229,0.0,0.0,0.0,0.0,2.0008230209350586
4300.0,0.011107292026281357,nan,0.19879981875419617,32.621891279769294,147.69580078125,0.0011892052134498954,0.009918087162077427,0.0,0.0,0.0,0.0,1.9850473403930664
4400.0,0.012519968673586845,nan,0.2947976589202881,33.62516615170547,147.69580078125,0.0012590396218001842,0.011260929517447948,0.0,0.0,0.0,0.0,2.082244634628296
4500.0,0.01107585709542036,0.046403735876083374,0.2390468269586563,32.135675565805066,147.69580078125,0.001164111657999456,0.00991174578666687,0.0,0.0,0.0,0.0,2.057068347930908
4600.0,0.010387641377747059,nan,0.2690363824367523,32.313181420028684,147.69580078125,0.0011099025141447783,0.009277738630771637,0.0,0.0,0.0,0.0,1.945383906364441
4700.0,0.010892055928707123,nan,0.23643144965171814,32.81749410514005,147.69580078125,0.001169704832136631,0.009722351096570492,0.0,0.0,0.0,0.0,2.023287057876587
4800.0,0.011728448793292046,nan,0.31662148237228394,33.385708122069325,147.69580078125,0.0011070807231590152,0.010621367953717709,0.0,0.0,0.0,0.0,1.9992682933807373
4900.0,0.01158114057034254,nan,0.17601074278354645,32.92988986263837,147.69580078125,0.0011801279615610838,0.010401012375950813,0.0,0.0,0.0,0.0,2.1920337677001953
5000.0,0.010570838116109371,0.04495134577155113,0.16986097395420074,32.63848321153341,147.69580078125,0.0011164465686306357,0.009454391896724701,0.0,0.0,0.0,0.0,1.9711823463439941
5100.0,0.009618808515369892,nan,0.19378980994224548,30.97037542588513,147.69580078125,0.001020616153255105,0.00859819259494543,0.0,0.0,0.0,0.0,1.983932614326477
5200.0,0.010056640021502972,nan,0.1854793280363083,33.0024248205677,147.69580078125,0.001053632004186511,0.009003007784485817,0.0,0.0,0.0,0.0,2.0377750396728516
5300.0,0.009573044255375862,nan,0.1446579545736313,33.31322073360579,147.69580078125,0.0009712185128591955,0.008601825684309006,0.0,0.0,0.0,0.0,2.014033317565918
5400.0,0.012128250673413277,nan,0.19137144088745117,33.418102370992315,147.69580078125,0.0010744202882051468,0.01105383038520813,0.0,0.0,0.0,0.0,2.072554588317871
5500.0,0.00920884869992733,0.04517557347814242,0.15011519193649292,32.33631886667297,147.69580078125,0.0010052681900560856,0.008203580044209957,0.0,0.0,0.0,0.0,1.984675645828247
5600.0,0.009317811578512192,nan,0.1337379515171051,31.35265146853396,147.69580078125,0.0009352327324450016,0.008382579311728477,0.0,0.0,0.0,0.0,2.0276832580566406
5700.0,0.008250555023550987,nan,0.13987810909748077,32.90714578918804,147.69580078125,0.0009103547781705856,0.007340200245380402,0.0,0.0,0.0,0.0,1.8930326700210571
5800.0,0.00884648784995079,nan,0.15769152343273163,33.32219163170877,147.69580078125,0.0009056985727511346,0.007940789684653282,0.0,0.0,0.0,0.0,1.9828523397445679
5900.0,0.00906236469745636,nan,0.18288947641849518,33.20925192215377,147.69580078125,0.0009077619761228561,0.008154602721333504,0.0,0.0,0.0,0.0,2.003596305847168
