timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/06/01 19:12:01.008, 1, 0 %, 0 %, 18 MiB, 29.05 W
2026/06/01 19:12:02.008, 0, 7 %, 0 %, 688 MiB, 82.40 W
2026/06/01 19:12:02.009, 1, 0 %, 0 %, 18 MiB, 28.94 W
2026/06/01 19:12:03.009, 0, 7 %, 0 %, 688 MiB, 81.21 W
2026/06/01 19:12:03.010, 1, 0 %, 0 %, 18 MiB, 28.93 W
2026/06/01 19:12:04.011, 0, 6 %, 0 %, 688 MiB, 82.60 W
2026/06/01 19:12:04.011, 1, 0 %, 0 %, 18 MiB, 28.93 W
2026/06/01 19:12:05.012, 0, 5 %, 0 %, 688 MiB, 81.63 W
2026/06/01 19:12:05.012, 1, 0 %, 0 %, 18 MiB, 29.05 W
2026/06/01 19:12:06.013, 0, 0 %, 0 %, 688 MiB, 79.36 W
2026/06/01 19:12:06.014, 1, 0 %, 0 %, 18 MiB, 28.69 W
2026/06/01 19:12:07.015, 0, 0 %, 0 %, 688 MiB, 75.15 W
2026/06/01 19:12:07.015, 1, 0 %, 0 %, 18 MiB, 29.55 W
2026/06/01 19:12:08.016, 0, 3 %, 0 %, 880 MiB, 75.76 W
2026/06/01 19:12:08.017, 1, 0 %, 0 %, 28 MiB, 56.22 W
2026/06/01 19:12:09.017, 0, 3 %, 0 %, 880 MiB, 75.29 W
2026/06/01 19:12:09.018, 1, 0 %, 0 %, 28 MiB, 68.44 W
2026/06/01 19:12:10.019, 0, 3 %, 0 %, 880 MiB, 76.05 W
2026/06/01 19:12:10.019, 1, 0 %, 0 %, 28 MiB, 68.48 W
2026/06/01 19:12:11.020, 0, 2 %, 0 %, 880 MiB, 74.87 W
2026/06/01 19:12:11.021, 1, 0 %, 0 %, 28 MiB, 68.54 W
2026/06/01 19:12:12.021, 0, 3 %, 0 %, 880 MiB, 75.52 W
2026/06/01 19:12:12.022, 1, 0 %, 0 %, 28 MiB, 43.65 W
2026/06/01 19:12:13.023, 0, 3 %, 0 %, 880 MiB, 75.49 W
2026/06/01 19:12:13.024, 1, 0 %, 0 %, 28 MiB, 30.33 W
2026/06/01 19:12:14.025, 0, 1 %, 0 %, 880 MiB, 75.91 W
2026/06/01 19:12:14.025, 1, 0 %, 0 %, 28 MiB, 29.08 W
2026/06/01 19:12:15.026, 0, 0 %, 0 %, 880 MiB, 75.07 W
2026/06/01 19:12:15.027, 1, 0 %, 0 %, 28 MiB, 29.19 W
