step,train_loss,train_action_loss,train_future_loss,val_loss,steps_per_sec,gpu_mem_alloc_mb,gpu_mem_reserved_mb
1.0,0.5962157845497131,0.4379144608974457,0.15830133855342865,0.6983047366142273,3.369526134479055,33.51025390625,44.0
100.0,0.16107122600078583,0.09617041796445847,0.06490080803632736,nan,105.80021714931803,33.51025390625,46.0
200.0,0.09620912373065948,0.05004598945379257,0.04616313800215721,nan,132.51317001501417,33.51025390625,46.0
300.0,0.07359248399734497,0.042806848883628845,0.030785638839006424,nan,134.788558217996,33.51025390625,46.0
400.0,0.05130571871995926,0.03080582618713379,0.02049989067018032,nan,130.70218015964045,33.51025390625,46.0
500.0,0.04271857067942619,0.02683829329907894,0.015880277380347252,0.04422816708683967,131.42674085979635,33.51025390625,46.0
600.0,0.04943757504224777,0.03496604412794113,0.014471529982984066,nan,127.50288544047055,33.51025390625,46.0
700.0,0.03411097824573517,0.022194910794496536,0.011916067451238632,nan,132.61190458802224,33.51025390625,46.0
800.0,0.042167846113443375,0.02929932251572609,0.01286852266639471,nan,131.71596889044218,33.51025390625,46.0
900.0,0.024349136278033257,0.015437169000506401,0.008911967277526855,nan,135.24579110444748,33.51025390625,46.0
1000.0,0.028904061764478683,0.019127732142806053,0.009776330552995205,0.02783651538193226,117.39181428031222,33.51025390625,46.0
1100.0,0.014702089130878448,0.008472036570310593,0.006230052560567856,nan,124.18902606820313,33.51025390625,46.0
1200.0,0.03902927041053772,0.02917337790131569,0.00985589250922203,nan,131.331806119426,33.51025390625,46.0
1300.0,0.022251088172197342,0.014742814935743809,0.007508272770792246,nan,130.8628979581084,33.51025390625,46.0
1400.0,0.022038541734218597,0.014774462208151817,0.007264079060405493,nan,120.813294535455,33.51025390625,46.0
1500.0,0.022378019988536835,0.015774443745613098,0.006603577174246311,0.02291952557861805,131.15684720885258,33.51025390625,46.0
1600.0,0.02341270260512829,0.01696639508008957,0.006446307059377432,nan,124.44016322983671,33.51025390625,46.0
1700.0,0.020306505262851715,0.014408322051167488,0.005898182280361652,nan,120.41633958872579,33.51025390625,46.0
1800.0,0.01853155717253685,0.012685338035225868,0.0058462186716496944,nan,131.7593747616349,33.51025390625,46.0
1900.0,0.017653916031122208,0.012225281447172165,0.005428634118288755,nan,134.17854048635826,33.51025390625,46.0
2000.0,0.01368674449622631,0.009074851870536804,0.004611893091350794,0.020337824895977973,130.22708470323465,33.51025390625,46.0
2100.0,0.019759025424718857,0.014082878828048706,0.0056761461310088634,nan,123.66902711240999,33.51025390625,46.0
2200.0,0.01991640031337738,0.01405826210975647,0.005858138203620911,nan,134.59111572039836,33.51025390625,46.0
2300.0,0.014219941571354866,0.009733200073242188,0.004486741963773966,nan,132.41619213336585,33.51025390625,46.0
2400.0,0.018205706030130386,0.012713965959846973,0.0054917410016059875,nan,130.50951831426943,33.51025390625,46.0
2500.0,0.02684636414051056,0.020949697121977806,0.005896667018532753,0.01930487174540758,134.68966205601575,33.51025390625,46.0
2600.0,0.013718411326408386,0.009315935894846916,0.004402474965900183,nan,112.10665661392662,33.51025390625,46.0
2700.0,0.018902011215686798,0.013939177617430687,0.004962833132594824,nan,130.93051321415794,33.51025390625,46.0
2800.0,0.0156540684401989,0.011419284157454967,0.004234784748405218,nan,133.69033267241477,33.51025390625,46.0
2900.0,0.018092691898345947,0.013273661024868488,0.004819031804800034,nan,130.33774441699558,33.51025390625,46.0
3000.0,0.017684267833828926,0.013243995606899261,0.004440272692590952,0.018031790480017663,114.26731619935364,33.51025390625,46.0
3100.0,0.013277893885970116,0.008855452761054039,0.004422440659254789,nan,124.47210604015895,33.51025390625,46.0
3200.0,0.012743359431624413,0.009074075147509575,0.0036692842841148376,nan,130.50339898462903,33.51025390625,46.0
3300.0,0.013879219070076942,0.009439229965209961,0.0044399891048669815,nan,132.95555531940846,33.51025390625,46.0
